#random walk 2D v 01
0 101 100
1 102 100
2 102 101
3 102 100
4 102 99
5 103 99
6 103 100
7 104 100
8 103 100
9 102 100
10 103 100
11 102 100
12 103 100
13 103 99
14 103 100
15 102 100
16 101 100
17 100 100
18 100 101
19 99 101
20 100 101
21 100 102
22 100 101
23 100 100
24 99 100
25 100 100
26 101 100
27 102 100
28 102 101
29 102 100
30 102 101
31 101 101
32 100 101
33 101 101
34 100 101
35 100 102
36 100 103
37 100 104
38 101 104
39 100 104
40 100 103
41 99 103
42 100 103
43 99 103
44 100 103
45 99 103
46 99 104
47 99 103
48 100 103
49 99 103
50 98 103
51 98 102
52 97 102
53 98 102
54 98 101
55 98 102
56 97 102
57 97 103
58 98 103
59 97 103
60 97 104
61 97 105
62 97 104
63 98 104
64 98 105
65 98 106
66 98 105
67 97 105
68 97 104
69 96 104
70 97 104
71 96 104
72 96 103
73 97 103
74 97 104
75 97 105
76 97 106
77 98 106
78 99 106
79 100 106
80 99 106
81 100 106
82 100 105
83 101 105
84 101 104
85 101 105
86 102 105
87 101 105
88 102 105
89 103 105
90 103 106
91 103 105
92 103 104
93 103 103
94 102 103
95 103 103
96 104 103
97 104 102
98 103 102
99 103 103
