0 -4 -1 2
1 -7 -2 2
2 1 9 4
3 1 10 5
4 1 4 -2
5 -8 -4 3
6 2 5 3
7 4 -10 1
8 -3 8 -3
9 -3 -6 2
10 -4 -3 4
11 0 -1 4
12 10 -1 9
13 -5 7 2
14 4 3 -1
15 -4 0 -7
16 3 6 4
17 1 2 1
18 -2 1 -10
19 2 -10 -1
20 -10 1 5
21 4 1 -6
22 0 3 -1
23 -3 7 -5
24 -10 -6 0
25 0 7 -6
26 -1 -8 5
27 -1 2 -5
28 0 -8 -6
29 -4 2 -4
30 0 2 2
31 8 3 -2
32 -8 -1 6
33 -4 2 -9
34 3 1 -5
35 -9 -5 2
36 9 4 1
37 1 -10 -6
38 4 4 2
39 -1 -7 6
40 -1 -8 0
41 -5 0 -3
42 -5 3 3
43 -6 9 -2
44 4 1 5
45 5 -3 6
46 0 -2 1
47 3 1 5
48 -1 -9 -9
49 -1 0 -1
50 3 -1 -5
51 1 -5 9
52 2 3 -1
53 -5 -2 7
54 -3 0 -9
55 -5 0 -6
56 1 -9 -3
57 1 -5 -4
58 -10 2 1
59 -1 -6 0
60 -2 8 5
61 -10 0 -6
62 -9 0 -7
63 6 -2 -4
64 2 0 -4
65 -4 8 -3
66 -2 -1 2
67 -3 -1 1
68 -1 9 2
69 1 -7 1
70 4 7 -1
71 -1 10 -3
72 2 -1 7
73 0 8 -5
74 8 -1 -6
75 1 4 7
76 3 3 3
77 -1 5 -8
78 7 0 1
79 -1 0 -8
80 -3 4 0
81 -10 -1 3
82 7 0 -10
83 -5 6 -3
84 -7 -4 -1
85 4 9 2
86 6 -9 -1
87 -9 0 7
88 1 -4 9
89 2 -4 -9
90 -1 7 -4
91 -6 5 -2
92 8 8 0
93 -4 0 -3
94 -6 -1 4
95 -3 -4 -9
96 -1 5 5
97 -3 1 2
98 -4 0 -9
99 10 -1 8
100 0 -4 -9
101 3 2 -5
102 0 8 0
103 5 5 -3
104 -1 3 -4
105 -5 1 7
106 -4 -5 -6
107 -1 -5 -4
108 0 0 2
109 1 -3 10
110 -3 10 1
111 2 -1 1
112 5 -2 6
113 0 1 -7
114 -5 2 -3
115 4 0 -2
116 -8 10 0
117 -8 3 3
118 4 -1 0
119 1 -6 8
120 -9 1 -1
121 -5 -2 -7
122 2 2 -6
123 5 1 2
124 2 3 1
125 -6 -4 -1
126 -6 -8 0
127 3 4 -3
128 -3 -1 -8
129 0 -10 -4
130 0 -3 7
131 -2 -7 4
132 -9 -2 -4
133 0 -5 -7
134 1 -8 -1
135 8 -6 -2
136 10 -1 3
137 -4 2 -7
138 1 7 6
139 0 1 -2
140 -10 4 0
141 2 -4 -5
142 3 -1 7
143 0 -4 3
144 0 2 10
145 -2 -6 -3
146 0 -5 9
147 3 -2 -3
148 -1 1 9
149 1 6 -6
150 -2 -7 8
151 -10 0 -3
152 4 2 9
153 3 7 -2
154 1 5 2
155 1 2 -3
156 1 2 -7
157 -4 3 -2
158 -1 -4 -2
159 -2 4 2
160 2 3 -7
161 3 5 3
162 0 -6 1
163 1 0 -4
164 4 1 4
165 5 -1 5
166 5 3 -3
167 1 3 10
168 1 9 3
169 1 -2 -10
170 1 -7 -9
171 -5 -2 -6
172 3 3 -6
173 -8 2 0
174 -2 2 1
175 -8 6 0
176 -5 5 0
177 3 0 6
178 4 -1 -9
179 5 9 0
180 4 -1 -8
181 -5 -2 -5
182 3 3 -8
183 -2 7 -7
184 -2 10 3
185 10 0 -4
186 -1 8 2
187 -7 -1 5
188 -7 -5 1
189 3 3 -1
190 1 4 -5
191 2 2 3
192 2 -5 4
193 10 -2 4
194 9 7 -1
195 -1 2 7
196 0 5 1
197 -1 1 1
198 -3 10 -1
199 3 1 0
200 -7 1 -1
201 3 4 -4
202 2 -7 -3
203 -2 1 5
204 2 0 -10
205 4 2 -1
206 -9 -2 -2
207 -3 -3 9
208 -6 -5 2
209 -2 -8 4
210 -1 3 4
211 -9 2 -2
212 -8 -2 -3
213 -1 6 8
214 2 -3 10
215 1 10 -1
216 -5 -10 -1
217 8 3 -2
218 -9 -8 -1
219 -1 4 -6
220 0 -8 2
221 -8 -4 -3
222 0 -5 4
223 4 -1 9
224 10 5 1
225 -2 -4 -5
226 6 3 -4
227 4 6 -2
228 -3 -1 7
229 3 1 9
230 2 6 -3
231 -9 3 1
232 10 5 0
233 -7 -4 -1
234 -4 -9 -3
235 0 -6 1
236 -9 1 5
237 -2 7 -3
238 6 0 4
239 0 -6 0
240 -2 4 0
241 -3 3 1
242 1 -9 -4
243 3 -5 -6
244 -5 -5 3
245 2 5 0
246 2 1 3
247 -4 6 3
248 4 1 7
249 1 2 -7
250 0 5 3
251 5 3 -5
252 4 -2 8
253 -1 -2 1
254 -1 -1 -8
255 1 3 -8
256 10 0 -5
257 5 3 -5
258 -1 10 -7
259 -5 -7 -2
260 0 -8 -9
261 5 -1 1
262 9 -1 -8
263 -10 5 1
264 -6 -3 0
265 -10 -2 -4
266 -2 2 -3
267 2 1 4
268 8 0 6
269 -5 -2 -1
270 -1 -3 10
271 5 -8 -2
272 -6 1 9
273 4 5 -3
274 -7 1 4
275 9 -1 10
276 -1 2 -6
277 2 -8 -1
278 -5 -2 -4
279 1 -5 -2
280 1 -7 -8
281 6 4 3
282 -6 2 -3
283 -3 10 0
284 -6 0 7
285 -6 -5 0
286 -1 0 -1
287 0 -2 4
288 -5 4 -2
289 -5 2 3
290 9 2 -4
291 -9 1 3
292 1 0 5
293 -8 -1 -4
294 -3 -8 -4
295 -3 3 2
296 10 -1 9
297 1 0 -1
298 4 1 3
299 -10 1 2
300 -1 -3 -6
301 0 -8 0
302 4 2 -7
303 -1 -4 6
304 0 -10 -7
305 -5 1 3
306 -1 0 -7
307 -4 10 -2
308 -1 4 -6
309 4 -8 -1
